census_tract,rank,lat,lon
48201530400,151,29.8261185,-95.38856997
22071002100,152,29.98084,-90.05505494
48201454400,153,29.7474735,-95.66922281
39061010300,154,39.087672,-84.57549656
1073002400,155,33.5256605,-86.78263641
5119004500,156,34.740277,-92.29079877
48201210800,157,29.7955045,-95.34513559
6067006900,158,38.5996015,-121.4590143
1073004500,159,33.5044475,-86.80483119
22071002900,160,29.975825,-90.06098823
39061000200,161,39.1093405,-84.5296565
22071007101,162,29.9668,-90.10289198
29183311500,163,38.865572,-90.64070919
6113010203,164,38.5673805,-121.5602002
47157000400,165,35.1775565,-90.01624691
5143010600,166,36.0794575,-94.18764825
48201530700,167,29.8580345,-95.4071789
48113011105,168,32.652024,-96.82734615
28049010801,169,32.3124445,-90.29918566
42101038100,170,40.0190005,-75.03253341
10003001902,171,39.7166965,-75.52478418
42101005400,172,39.887642,-75.2564802
47065002600,173,35.023203,-85.28571273
48113011401,174,32.678428,-96.76827869
22055001100,175,30.247179,-92.01549276
26163541700,176,42.435714,-83.27310051
1073001200,177,33.529392,-86.85736039
47037016000,178,36.144528,-86.76226536
47157011200,179,35.1653455,-90.01461244
48201230400,180,29.832842,-95.32451262
42045405000,181,39.851123,-75.36527115
1097001502,182,30.65587,-88.06946938
39061026900,183,39.119728,-84.53013402
48113010902,184,32.661427,-96.86370047
22071003000,185,29.981157,-90.06153057
48201980100,186,29.985822,-95.33742155
5119004103,187,34.6691725,-92.40029146
22033002801,188,30.4129955,-91.19059982
39061026700,189,39.122865,-84.49669756
48201312300,190,29.7376695,-95.36039799
6047001700,191,37.284132,-120.4429526
39061003600,192,39.1364915,-84.48602556
48201222600,193,29.936237,-95.39655794
13063040202,194,33.609761,-84.41630891
5119003002,195,34.780417,-92.28357662
48201422200,196,29.6380515,-95.50072404
48439106002,197,32.6480125,-97.30315561
21015070301,198,38.9601675,-84.62223449
48209010302,199,29.8703605,-97.91334549
48245000500,200,30.110012,-94.13291482
24015030400,201,39.607299,-75.83615262
48113008701,202,32.701882,-96.7635138
42043023500,203,40.2079275,-76.78895434
17031826901,204,41.6217265,-87.66567221
1073003002,205,33.512184,-86.84484009
5119000500,206,34.7150295,-92.27421612
1073003900,207,33.4956585,-86.87225483
1097002700,208,30.697009,-88.11447899
5119004600,209,34.732378,-92.26283488
48201533300,210,29.876015,-95.42101104
36005005300,211,40.8522505,-73.92172107
48113014002,212,32.948286,-96.92300614
48201324100,213,29.722547,-95.18582535
47065002300,214,35.004933,-85.29911694
17143001200,215,40.69366,-89.58651062
5143010701,216,36.0907935,-94.16848277
48201332100,217,29.6806275,-95.34731713
6071002804,218,34.0957735,-117.4468918
48113008603,219,32.7251295,-96.77002977
22033003000,220,30.5166735,-91.25559535
17163502404,221,38.6162575,-90.06496393
22055001200,222,30.2552405,-91.98671226
21111004900,223,38.2583575,-85.75354361
39061003800,224,39.1421655,-84.4751386
48201330700,225,29.5949355,-95.44112328
48201332000,226,29.673143,-95.34617107
22071007200,227,29.960279,-90.1098971
22071002800,228,29.9778965,-90.06666233
22071014300,229,29.9398745,-90.09208547
22071002200,230,29.981214,-90.04930019
5119003800,231,34.811805,-92.14048582
48121020800,232,33.194735,-97.17558607
13115000600,233,34.287918,-85.14432968
37191001800,234,35.3928605,-77.99985305
28049003400,235,32.2809735,-90.22165019
48121021201,236,33.194675,-97.096026
22055000200,237,30.2194775,-92.0016068
48113016701,238,32.657315,-96.76688776
39035105602,239,41.4518295,-81.69464757
22033000200,240,30.498497,-91.13623425
39061027000,241,39.1357055,-84.49655437
22071004900,242,29.9626715,-90.08244443
6047001302,243,37.3043015,-120.4780477
