city,rank,lat,lon,description
Marietta,124,33.9533,-84.5422,"Ranks highly in: PM25: 94%, Building_Loss_Rate: 93%, Diesel_Particulate: 93%"
Greensboro,125,36.0956,-79.8269,"Ranks highly in: Agricultural_Loss_Rate: 93%, Traffic_Proximity: 91%, Diesel_Particulate: 91%"
Syracuse,126,43.0409,-76.1438,"Ranks highly in: Asthma: 94%, Traffic_Proximity: 92%, Household_Income: 92%"
Albuquerque,127,35.1053,-106.6464,"Ranks highly in: Traffic_Proximity: 93%, Diesel_Particulate: 93%, Asthma: 93%"
Ruston,128,32.5329,-92.6363,"Ranks highly in: Agricultural_Loss_Rate: 97%, Building_Loss_Rate: 95%, Asthma: 93%"
Rockford,129,42.2597,-89.0641,"Ranks highly in: Building_Loss_Rate: 93%, Traffic_Proximity: 92%, Household_Income: 91%"
Reading,130,40.34,-75.9267,"Ranks highly in: PM25: 93%, Asthma: 91%, Diesel_Particulate: 91%"
Davenport,131,41.5563,-90.6052,"Ranks highly in: Agricultural_Loss_Rate: 95%, Building_Loss_Rate: 92%, Household_Income: 90%"
Spokane,132,47.6671,-117.433,"Ranks highly in: PM25: 94%, Asthma: 93%, Traffic_Proximity: 91%"
Elizabeth,133,40.6657,-74.1912,"Ranks highly in: Agricultural_Loss_Rate: 96%, Building_Loss_Rate: 96%, PM25: 96%"
Deltona,134,28.905,-81.2137,"Ranks highly in: Building_Loss_Rate: 95%, Agricultural_Loss_Rate: 91%, Diesel_Particulate: 90%"
Santa Rosa,135,38.4458,-122.7067,"Ranks highly in: Agricultural_Loss_Rate: 96%, PM25: 92%, Traffic_Proximity: 91%"
Modesto,136,37.6374,-121.0028,"Ranks highly in: PM25: 93%, Agricultural_Loss_Rate: 93%, Asthma: 91%"
Provo,137,40.2457,-111.6457,"Ranks highly in: Diesel_Particulate: 93%, Traffic_Proximity: 92%, Household_Income: 91%"
Gulfport,138,30.4271,-89.0703,"Ranks highly in: Building_Loss_Rate: 93%, Agricultural_Loss_Rate: 92%, Asthma: 91%"
Greenville,139,34.8353,-82.3647,"Ranks highly in: Agricultural_Loss_Rate: 97%, Building_Loss_Rate: 95%, Household_Income: 94%"
Stockbridge,140,33.5253,-84.2294,"Ranks highly in: Agricultural_Loss_Rate: 96%, Building_Loss_Rate: 92%, Household_Income: 91%"
New Castle,141,40.9956,-80.3459,"Ranks highly in: Asthma: 93%, Agricultural_Loss_Rate: 92%, Household_Income: 92%"
Sanford,142,28.7893,-81.276,"Ranks highly in: Building_Loss_Rate: 94%, Diesel_Particulate: 91%, Agricultural_Loss_Rate: 89%"
Canton,143,40.8075,-81.3677,"Ranks highly in: Asthma: 92%, PM25: 92%, Building_Loss_Rate: 91%"
Reno,144,39.5497,-119.8483,"Ranks highly in: Agricultural_Loss_Rate: 93%, Asthma: 92%, Traffic_Proximity: 91%"
Springfield,145,42.1155,-72.5395,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 98%, Building_Loss_Rate: 98%"
Vallejo,146,38.1133,-122.2358,"Ranks highly in: PM25: 93%, Traffic_Proximity: 92%, Agricultural_Loss_Rate: 92%"
Hazleton,147,40.9504,-75.9724,"Ranks highly in: Asthma: 92%, Building_Loss_Rate: 90%, Traffic_Proximity: 90%"
Madison,148,43.0826,-89.3931,"Ranks highly in: Traffic_Proximity: 92%, Building_Loss_Rate: 90%, Agricultural_Loss_Rate: 90%"
Palm Bay,149,27.955,-80.6627,"Ranks highly in: Building_Loss_Rate: 94%, Traffic_Proximity: 91%, Diesel_Particulate: 90%"
Fargo,150,46.8652,-96.8292,"Ranks highly in: Agricultural_Loss_Rate: 94%, Building_Loss_Rate: 92%, Household_Income: 91%"
Monessen,151,40.1519,-79.8828,"Ranks highly in: PM25: 93%, Asthma: 91%, Household_Income: 90%"
Ann Arbor,152,42.2755,-83.7312,"Ranks highly in: Traffic_Proximity: 91%, Diesel_Particulate: 90%, Asthma: 90%"
Brownsville,153,25.998,-97.4565,"Ranks highly in: Building_Loss_Rate: 93%, PM25: 92%, Agricultural_Loss_Rate: 91%"
Allentown,154,40.5961,-75.4756,"Ranks highly in: PM25: 91%, Diesel_Particulate: 90%, Traffic_Proximity: 89%"
Norfolk,155,36.8945,-76.259,"Ranks highly in: Traffic_Proximity: 93%, Diesel_Particulate: 92%, Asthma: 90%"
Glen Burnie,156,39.1559,-76.6072,"Ranks highly in: Diesel_Particulate: 92%, Traffic_Proximity: 90%, PM25: 90%"
Norman,157,35.2335,-97.3471,"Ranks highly in: Building_Loss_Rate: 91%, Agricultural_Loss_Rate: 91%, Asthma: 90%"
Brockton,158,42.0821,-71.0242,"Ranks highly in: Agricultural_Loss_Rate: 95%, Asthma: 91%, Traffic_Proximity: 90%"
Pensacola,159,30.4427,-87.1886,"Ranks highly in: Building_Loss_Rate: 92%, Household_Income: 88%, PM25: 87%"
Carrollton,160,33.5817,-85.0837,"Ranks highly in: Agricultural_Loss_Rate: 96%, Building_Loss_Rate: 91%, Household_Income: 91%"
Sugar Land,161,29.5935,-95.6357,"Ranks highly in: Building_Loss_Rate: 92%, PM25: 92%, Diesel_Particulate: 89%"
Columbia,162,38.9478,-92.3256,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 98%, Asthma: 97%"
Bethlehem,163,40.6266,-75.3679,"Ranks highly in: PM25: 90%, Agricultural_Loss_Rate: 89%, Asthma: 89%"
Van Buren,164,35.448,-94.3528,"Ranks highly in: Agricultural_Loss_Rate: 92%, Building_Loss_Rate: 91%, Household_Income: 91%"
Green Bay,165,44.515,-87.9896,"Ranks highly in: Agricultural_Loss_Rate: 92%, Household_Income: 90%, Asthma: 90%"
Decatur,166,34.573,-86.9906,"Ranks highly in: Agricultural_Loss_Rate: 97%, Building_Loss_Rate: 96%, Asthma: 94%"
Lakeville,167,44.6774,-93.252,"Ranks highly in: Building_Loss_Rate: 93%, Diesel_Particulate: 90%, Traffic_Proximity: 89%"
Jackson,168,32.3163,-90.2124,"Ranks highly in: Building_Loss_Rate: 91%, PM25: 91%, Asthma: 90%"
Battle Creek,169,42.2986,-85.2296,"Ranks highly in: Agricultural_Loss_Rate: 93%, Asthma: 91%, Building_Loss_Rate: 91%"
O'Fallon,170,38.785,-90.7175,"Ranks highly in: PM25: 91%, Diesel_Particulate: 90%, Building_Loss_Rate: 90%"
Savannah,171,32.0281,-81.1784,"Ranks highly in: Household_Income: 89%, Diesel_Particulate: 89%, Traffic_Proximity: 89%"
Columbia,172,39.2004,-76.859,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 98%, Asthma: 97%"
Woodstock,173,34.1026,-84.509,"Ranks highly in: Agricultural_Loss_Rate: 93%, Building_Loss_Rate: 90%, PM25: 90%"
Clinton,174,41.8434,-90.2408,"Ranks highly in: Agricultural_Loss_Rate: 95%, Building_Loss_Rate: 93%, Asthma: 92%"
Albertville,175,34.2634,-86.2107,"Ranks highly in: Agricultural_Loss_Rate: 94%, Building_Loss_Rate: 90%, Asthma: 88%"
Aurora,176,41.7637,-88.2901,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 97%, Household_Income: 96%"
Bloomsburg,177,41.0027,-76.4561,"Ranks highly in: Agricultural_Loss_Rate: 92%, Building_Loss_Rate: 90%, Asthma: 89%"
Portsmouth,178,43.058,-70.7826,"Ranks highly in: Agricultural_Loss_Rate: 97%, Asthma: 92%, Household_Income: 91%"
Corpus Christi,179,27.726,-97.3755,"Ranks highly in: Building_Loss_Rate: 92%, PM25: 90%, Traffic_Proximity: 89%"
South Bend,180,41.6767,-86.2696,"Ranks highly in: Asthma: 91%, Household_Income: 89%, Diesel_Particulate: 89%"
Eugene,181,44.0563,-123.1173,"Ranks highly in: Asthma: 92%, PM25: 90%, Traffic_Proximity: 88%"
Harrisburg,182,40.2752,-76.8843,"Ranks highly in: PM25: 90%, Asthma: 89%, Diesel_Particulate: 89%"
Charleston,183,32.8153,-79.9628,"Ranks highly in: Asthma: 94%, Household_Income: 93%, Traffic_Proximity: 92%"
Tallahassee,184,30.4551,-84.2526,"Ranks highly in: PM25: 90%, Building_Loss_Rate: 88%, Diesel_Particulate: 87%"
Kansas City,185,39.1234,-94.7443,"Ranks highly in: Building_Loss_Rate: 99%, Asthma: 99%, Agricultural_Loss_Rate: 99%"
Killeen,186,31.0754,-97.7296,"Ranks highly in: PM25: 89%, Building_Loss_Rate: 89%, Household_Income: 87%"
Visalia,187,36.3276,-119.3269,"Ranks highly in: PM25: 92%, Asthma: 89%, Traffic_Proximity: 88%"
